case,material,mesh,solver
air_coarse_balanced,air,coarse,balanced
air_coarse_exact,air,coarse,exact
air_coarse_fast,air,coarse,fast
air_fine_balanced,air,fine,balanced
air_fine_exact,air,fine,exact
air_fine_fast,air,fine,fast
air_medium_balanced,air,medium,balanced
air_medium_exact,air,medium,exact
air_medium_fast,air,medium,fast
oil_coarse_balanced,oil,coarse,balanced
oil_coarse_exact,oil,coarse,exact
oil_coarse_fast,oil,coarse,fast
oil_fine_balanced,oil,fine,balanced
oil_fine_exact,oil,fine,exact
oil_fine_fast,oil,fine,fast
oil_medium_balanced,oil,medium,balanced
oil_medium_exact,oil,medium,exact
oil_medium_fast,oil,medium,fast
water_coarse_balanced,water,coarse,balanced
water_coarse_exact,water,coarse,exact
water_coarse_fast,water,coarse,fast
water_fine_balanced,water,fine,balanced
water_fine_exact,water,fine,exact
water_fine_fast,water,fine,fast
water_medium_balanced,water,medium,balanced
water_medium_exact,water,medium,exact
water_medium_fast,water,medium,fast
